"date";"mesocosm_ID";"fish";"warming";"ZP";"tmean15";"date_c"
"15/06/2021";"1";"SB";"NW";2.7816903961808;25.2011407733272;84
"15/06/2021";"2";"SB";"W";0.227319772932461;28.6762241259551;84
"15/06/2021";"3";"LB";"W";0.107156923005937;29.4216320907618;84
"15/06/2021";"4";"LB";"NW";0.297518560027173;25.7122530678398;84
"15/06/2021";"5";"NF";"NW";0.29296251507634;25.2206242185691;84
"15/06/2021";"6";"NF";"W";0.21571714713442;28.5986330169021;84
"15/06/2021";"7";"NF";"NW";0.810335745816207;25.451952303774;84
"15/06/2021";"8";"NF";"W";0.0688761679692662;28.4220013892105;84
"15/06/2021";"9";"LB";"NW";0.604538043068285;24.9191120629775;84
"15/06/2021";"10";"SB";"W";0.320219035890823;28.4532949756888;84
"15/06/2021";"11";"LB";"W";0.151252328905876;29.0681180828896;84
"15/06/2021";"12";"SB";"NW";1.10071349606458;25.3473705419176;84
"15/06/2021";"13";"LB";"W";0.253438648566421;28.7352489002084;84
"15/06/2021";"14";"SB";"NW";0.373536426822685;25.4704946734599;84
"15/06/2021";"15";"SB";"W";0.0966489289766025;28.9425758277379;84
"15/06/2021";"16";"NF";"W";0.0657408355781088;28.8895123871267;84
"15/06/2021";"17";"LB";"NW";0.44107205014673;25.0787737902292;84
"15/06/2021";"18";"NF";"NW";0.936516647749518;25.2757256309331;84
"15/06/2021";"19";"NF";"W";0.405878319097642;28.6730787219264;84
"15/06/2021";"20";"LB";"NW";0.540770834512556;25.2624292660338;84
"15/06/2021";"21";"NF";"NW";0.0182794412979226;25.2170213012271;84
"15/06/2021";"22";"LB";"W";0.490679049468397;28.7223959249826;84
"15/06/2021";"23";"SB";"NW";0.0803674970942382;25.3154093540171;84
"15/06/2021";"24";"SB";"W";0.0182581093913375;27.9096846492244;84
"18/05/2021";"1";"SB";"NW";1.15841344327175;19.45779115536;56
"18/05/2021";"2";"SB";"W";0.80971904640681;22.6420639036814;56
"18/05/2021";"3";"LB";"W";2.62480015292862;23.4104246353323;56
"18/05/2021";"4";"LB";"NW";1.39651167747263;19.9158701088215;56
"18/05/2021";"5";"NF";"NW";0.931509208834517;19.2460099560083;56
"18/05/2021";"6";"NF";"W";0.375558921769934;22.7722972910396;56
"18/05/2021";"7";"NF";"NW";1.12554369245209;19.5127508682565;56
"18/05/2021";"8";"NF";"W";1.45475880391154;22.5479157212318;56
"18/05/2021";"9";"LB";"NW";5.49815962417894;19.2671472563093;56
"18/05/2021";"10";"SB";"W";0.485712237676999;22.4353584163001;56
"18/05/2021";"11";"LB";"W";0.988739210884837;23.009626765455;56
"18/05/2021";"12";"SB";"NW";7.04555346477142;19.2585137763371;56
"18/05/2021";"13";"LB";"W";1.03715488149046;22.9475554526511;56
"18/05/2021";"14";"SB";"NW";0.279558213895921;19.4891660106506;56
"18/05/2021";"15";"SB";"W";11.7659006629535;23.0179018291271;56
"18/05/2021";"16";"NF";"W";0.821483477710289;23.0575172493633;56
"18/05/2021";"17";"LB";"NW";0.908120997726694;19.4109708265802;56
"18/05/2021";"18";"NF";"NW";3.47952523162984;19.4054109747627;56
"18/05/2021";"19";"NF";"W";1.82258532324563;22.8614892336189;56
"18/05/2021";"20";"LB";"NW";22.1456725140906;19.4052993748553;56
"18/05/2021";"21";"NF";"NW";1.57375811247486;19.4808138457976;56
"18/05/2021";"22";"LB";"W";3.82134893971475;22.8464758045844;56
"18/05/2021";"23";"SB";"NW";1.38980986356125;19.4686735355406;56
"18/05/2021";"24";"SB";"W";0.665377040413795;22.3830166705256;56
"20/04/2021";"1";"SB";"NW";4.50056239838957;13.1737355869414;28
"20/04/2021";"2";"SB";"W";0.231957754928902;16.3983088677935;28
"20/04/2021";"3";"LB";"W";0.279691728050523;17.2043121092846;28
"20/04/2021";"4";"LB";"NW";2.86110727685334;13.7466438990507;28
"20/04/2021";"5";"NF";"NW";0.413622249727329;12.993489465154;28
"20/04/2021";"6";"NF";"W";1.10200912979339;16.5281083584163;28
"20/04/2021";"7";"NF";"NW";31.1371951797549;13.2397066450567;28
"20/04/2021";"8";"NF";"W";0.334241825239245;16.2985123871266;28
"20/04/2021";"9";"LB";"NW";1.76092051664573;13.0975698078259;28
"20/04/2021";"10";"SB";"W";1.77806495751904;16.1749967585089;28
"20/04/2021";"11";"LB";"W";0.373720049089561;16.859913405881;28
"20/04/2021";"12";"SB";"NW";1.30793950465855;13.0528411669368;28
"20/04/2021";"13";"LB";"W";0.113336475832727;16.6737272516786;28
"20/04/2021";"14";"SB";"NW";0.269650698280636;13.2635038203288;28
"20/04/2021";"15";"SB";"W";0.159577024782456;16.7694672377865;28
"20/04/2021";"16";"NF";"W";1.88331101493203;16.9147751794397;28
"20/04/2021";"17";"LB";"NW";3.00687310242462;13.2065038203288;28
"20/04/2021";"18";"NF";"NW";4.70278296939962;13.261152350081;28
"20/04/2021";"19";"NF";"W";0.456165668825535;16.5470201435517;28
"20/04/2021";"20";"LB";"NW";2.54248308123396;13.1383028478815;28
"20/04/2021";"21";"NF";"NW";1.83585351581467;13.3697175272054;28
"20/04/2021";"23";"SB";"NW";5.58845897614833;13.1789002083816;28
"20/04/2021";"24";"SB";"W";0.848277176071136;16.0730562630238;28
